"d9d9d9","d9d9d8","d8d9d9","d10d10d10","d8d9d8","d8d7d7","d10d9d10","d9d9d10","d7d8d8","d8d8d8","d8d8d9","d7d7d8","d8d8d7","d9d8d8","d10d10d9","d7d7d7"
"-0.0087297","0.90922","-0.41289","0.037612","-0.025118","0.0008697","-0.0026482","-0.026144","-0.0014751","0.0050521","0.0018402","-3.2919e-17","8.7955e-18","1.0656e-17","-1.1763e-17","3.4753e-18"
"-0.0011577","0.03205","0.026653","-0.8162","-0.19343","-0.13735","-0.3676","-0.203","-0.0054775","0.31368","-0.032142","2.1454e-16","-5.2073e-17","-8.9607e-18","8.8919e-17","4.0727e-17"
"-0.0010276","0.038323","0.014543","-0.48842","-0.17762","0.065272","0.64224","0.43477","0.04464","-0.33241","-0.099839","6.114e-16","-1.3623e-16","-1.2942e-16","1.7031e-16","-1.5553e-16"
