"d3d3d3","d5d4d4","d4d4d4","d5d5d5","d4d4d5"
"-0","-1","-0","-0","-0"
"8.7773e-05","-0","0.0032564","0.69754","0.71653"
"0.0025174","-0","0.99999","-0.0046686","0"
