"d5d4d5","d4d5d4","d4d5d5","d4d4d3","d5d4d4","d3d3d3","d3d4d4","d4d4d4","d5d5d4","d5d5d5","d4d4d5"
"-0.0032148","-0.0099637","0.00011338","-0.03165","-0.11009","0.049751","-0.056849","-0.13414","-0.98136","1.649e-16","-1.5331e-16"
"-0.013873","-0.0028581","-0.0015498","-0.23778","-0.092955","-0.5062","0.69224","0.43333","-0.10682","3.4197e-16","-8.4315e-17"
"-0.055915","-0.06656","-0.0033838","-0.76587","0.38911","0.38347","-0.12531","0.30109","-0.032547","1.2481e-17","-6.6204e-17"
