"d4d5d5","d5d4d4","d4d4d4","d5d5d4","d5d5d5","d4d4d5"
"0.0057974","-0.0085726","0.59662","0.10019","-0.41859","-0.67726"
"0.010252","-0.0096671","-0.00040867","-0.85545","-0.48738","0.17454"
"0.027439","-0.99932","-0.020661","0.013227","-0.0032775","-0.0013344"
