"d4d5d5","d3d3d3","d5d4d4","d4d3d3","d4d4d4","d5d5d4","d5d5d5","d4d4d5"
"-0.021595","0.020389","-0.0027199","-0.73531","0.004283","0.67696","0.011326","7.717e-16"
"-0.0022417","0.10406","0.99156","-0.00076051","0.00020305","-4.9526e-05","2.8307e-05","-0.077289"
"-0.0083467","0.017754","-0.002318","-0.30672","0.87578","-0.34197","0.14698","-3.9899e-16"
