"d4d5d4","d4d5d5","d5d4d4","d3d3d3","d4d3d3","d3d4d4","d4d4d4","d5d5d4","d5d5d5","d4d4d5"
"-0.0022841","-0.014122","0.0025807","-0.21628","0.76125","-0.027809","0.071154","-0.60489","0.042259","2.1007e-16"
"-0.0053494","-0.0085441","0.0015916","-0.015054","-0.058059","0.032789","0.68969","-0.038122","-0.71979","4.3455e-16"
"-0.014483","-0.01334","0.0026285","-0.33759","-0.39933","0.033194","0.5528","-0.27707","0.58541","-2.5839e-16"
