"d5d4d5","d4d5d5","d5d4d4","d4d4d4","d5d5d4","d5d5d5","d4d4d5"
"-0.023256","0.010096","-0.52272","0.7739","-0.35623","0.015557","-0.0078119"
"-0.021746","-0.035163","0.30806","0.15347","-0.13106","-0.63482","-0.67799"
"-0.034249","-0.032101","0.092924","-0.22433","-0.6544","-0.4574","0.54898"
