1:0.0	2:0.3589971794671734	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.3589971794671734	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.3589971794671734	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.26326459827592713	3:0.0	4:0.01823200967786516	5:0.0	6:0.0	7:0.0	8:0.0	9:0.06397299729154125	10:0.0	11:0.021830903232307367	12:0.0
1:0.0	2:0.3589971794671734	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.3589971794671734	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.23161108352720863	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.09286402832643087	10:0.02037725158421438	11:0.021126680547394226	12:0.0
1:0.0	2:0.3589971794671734	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.02857142857142857	2:0.2256553699507947	3:0.0	4:0.0	5:0.10378027222401358	6:0.016572241905105416	7:0.0	8:0.01847723672284032	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.32309746152045604	3:0.0	4:0.0	5:0.018161547639202375	6:0.01450071166696724	7:0.0	8:0.016167582132485283	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.3191086039708208	3:0.0	4:0.0	5:0.0	6:0.0	7:0.03434829170700167	8:0.03592796029441173	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.3121714604062377	3:0.0	4:0.0	5:0.03158530024209109	6:0.02521862898602998	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.3589971794671734	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.3589971794671734	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.053849576920076005	3:0.0	4:0.0	5:0.290584762227238	6:0.01450071166696724	7:0.0	8:0.016167582132485283	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.29656288738592584	3:0.0	4:0.0	5:0.03158530024209109	6:0.02521862898602998	7:0.0	8:0.028117534143452663	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.3632309527840475	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.3589971794671734	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.09573258119124624	3:0.0	4:0.0	5:0.24215396852269833	6:0.019334282222622984	7:0.0	8:0.021556776176647044	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.3632309527840475	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.3589971794671734	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.2645242375021278	3:0.0	4:0.0	5:0.05735225570274434	6:0.0	7:0.032540486880317375	8:0.0	9:0.0	10:0.0	11:0.0	12:0.03542956321885763
1:0.0	2:0.07557835357203649	3:0.0	4:0.0	5:0.26764385994614026	6:0.0305278140357205	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.3632309527840475	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.07479107905566112	3:0.0	4:0.0	5:0.27242321458803564	6:0.02416785277827873	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.3459342407467119	6:0.02762040317517569	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.046825719060935654	3:0.0	4:0.0	5:0.30006035229986533	6:0.0	7:0.02688127177069696	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.3632309527840475	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.18804614162566227	3:0.0	4:0.0	5:0.12107698426134916	6:0.0	7:0.029441392891715722	8:0.030795394538067202	9:0.0	10:0.0	11:0.0	12:0.032055319102775946
1:0.0	2:0.0	3:0.0	4:0.0	5:0.347438302663002	6:0.0	7:0.02688127177069696	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.3589971794671734	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.3589971794671734	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.3589971794671734	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.3632309527840475	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.3632309527840475	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.34506940514484513	6:0.0	7:0.03091346253630151	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.3632309527840475	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.3632309527840475	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.3632309527840475	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.3589971794671734	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.3632309527840475	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.3632309527840475	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.3632309527840475	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.3632309527840475	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.3632309527840475	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.3632309527840475	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.3632309527840475	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
1:0.0	2:0.048954160836432725	3:0.0	4:0.0	5:0.29718896136876616	6:0.026364930303576797	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0
