0.7099,-0.0040051,-0.001086,-0.020447,-0.54002,-0.0011081,-0.01715,0.0016249,-0.45113,-0.013144
0.18927,-0.0082087,-0.0039055,0.0034531,-0.47119,-0.0049558,0.0018075,-0.0037983,0.86122,0.017528
-0.19473,0.7483,0.5635,-0.0027354,-0.2111,0.17294,-0.0023112,0.079441,-0.061617,-0.0016538
-0.13164,-0.06501,-0.046827,0.7127,-0.16537,0.035635,0.64318,0.097482,-0.068168,0.10892
-0.10506,-0.12273,-0.17418,-0.11208,-0.10374,0.4556,-0.10127,0.83744,-0.028297,-0.017507
-0.0035608,0.1808,-0.41073,0.0071045,-0.0076034,0.75904,0.007107,-0.4715,-0.0012696,-0.00010926
-0.063955,-0.054169,0.023925,0.17672,-0.066151,0.0087833,-0.38229,-0.029121,-0.040825,0.89892
-0.036186,-0.59757,0.66999,-0.024481,-0.034732,0.39541,0.012669,-0.17553,-0.010937,-0.058818
0.027344,0.0070953,0.0081593,0.65363,0.027723,0.0076275,-0.64289,0.0074457,0.016144,-0.3968
0.62272,0.16705,0.17804,0.14122,0.6303,0.16914,0.1269,0.16983,0.20852,0.13554
