"d3d3d4","d3d3d2","d5d4d4","d3d3d3","d3d3d1","d3d2d1","d3d2d2","d5d5d6","d4d1d3","d1d4d4","d5d5d4","d5d5d5","d6d5d5","d2d3d4","d6d6d6","d6d6d5","d2d2d3","d2d2d2","d4d5d5","d3d1d3","d3d1d2","d2d1d3","d4d4d4","d4d4d5","d5d6d6","d1d2d4","d1d2d3","d5d6d5","d4d4d3","d4d3d3","d3d4d3","d3d4d4","d4d3d4","d4d3d1","d4d3d2","d1d3d4","d1d3d3"
"0.0014753","0.0070498","0.00063528","4.1573e-05","3.0831e-05","0.0035249","0.0034394","0.051448","0.0035249","5.0358e-10","0.009186","0.0072809","0.019003","5.9227e-44","0.67326","0.037707","2.053e-07","9.6776e-44","0.03652","0.0025507","2e-44","0.014081","7.0404e-05","1.1676e-05","0.058859","1.3595e-43","0.0030168","0.0033166","0.0028341","0.01406","0.0023481","0.038693","2.729e-31","7.1629e-24","4.2405e-07","0.0033455","0.0026859"
"4.453e-05","1.5228e-21","1.8457e-05","1.8096e-07","0.0035823","2.2258e-12","4.2436e-12","0.001515","2.4128e-15","0.0029612","0.00018775","0.96793","0.0036576","1.5312e-06","1.8595e-06","0.0015602","1.2254e-19","0.00060727","0.00019568","0.0015286","2.1014e-08","2.9074e-10","4.1595e-07","0.0059033","0.00096196","1.732e-06","0.0013702","5.2046e-10","1.2059e-05","6.9163e-14","0.00039982","2.7448e-05","8.5593e-10","0.0011955","8.9926e-10","0.0036537","0.0026803"
"0.023685","1.1148e-07","0.06082","0.072342","2.7754e-17","1.9576e-27","8.7868e-05","0.00050476","1.6508e-31","0.0019086","0.026193","0.035119","0.0020085","0.0072339","5.1309e-08","1.8569e-17","0.0072383","0.012642","0.048774","7.4116e-08","0.010858","1.9156e-05","0.56453","0.065391","0.0018052","0.003614","3.285e-09","0.0038332","0.029627","4.1078e-05","8.02e-09","1.6329e-07","0.010858","0.0072449","0.0036188","4.235e-13","9.3083e-10"
