"d11d9d10","d10d10d11","d10d10d10","d10d9d8","d11d10d10","d11d10d11","d10d9d9","d5d5d6","d11d12d12","d11d12d11","d8d7d7","d10d9d10","d13d11d11","d10d9d11","d9d9d10","d12d13d13","d13d12d12","d8d9d11","d13d12d13","d9d10d10","d14d14d13","d14d14d14","d14d13d13","d13d13d13","d7d6d5","d12d12d12","d13d14d14","d12d12d11","d13d13d12","d12d12d13","d12d11d11","d6d8d8","d12d11d12","d8d8d8","d11d11d10","d10d11d12","d11d11d12","d10d11d10","d11d11d11","d10d11d11","d10d10d9","d11d11d13"
"0.0012287","0.025803","0.10321","0.0012287","0.013411","0.0049149","0.0024574","0.0012287","0.011776","0.0025933","0.0012287","0.0011915","0.0012287","0.0024574","0.0024574","1.4176e-47","1.3563e-92","0.0012287","2.6496e-90","0.0012286","1.684e-35","3.108e-92","1.6978e-92","1.5737e-68","0.0012287","7.0841e-10","4.7278e-93","0.010832","4.2796e-40","1.0442e-82","0.0080412","0.0012287","0.0024574","0.0012287","0.031944","3.4515e-10","0.007107","0.0024574","0.736","0.016145","0.0012287","0.0012287"
"7.0939e-216","9.5291e-141","1.4713e-137","7.7917e-214","2.2994e-213","3.3154e-215","2.826e-212","1.7712e-213","2.3833e-10","0.004642","3.0669e-213","1.0841e-209","1.2523e-215","8.1442e-216","2.1815e-215","0.036534","0.026096","7.7014e-214","0.0052191","3.9324e-213","0.010438","0.010438","0.0052191","0.86116","6.9687e-214","3.607e-11","0.010438","1.8329e-210","0.014681","0.015135","2.7265e-14","2.7682e-214","2.1246e-213","3.4263e-213","3.292e-211","5.8831e-219","1.6849e-212","5.9649e-216","3.3232e-36","1.2841e-191","6.2437e-219","4.295e-215"
"2.1625e-83","7.1957e-09","3.0518e-07","4.0662e-79","0.00022011","5.4908e-24","1.1901e-13","2.6934e-79","0.013903","6.7836e-12","1.33e-78","7.781e-05","5.9714e-89","2.4956e-78","6.1164e-31","2.2622e-28","2.8981e-32","6.7941e-80","4.4805e-22","1.6012e-07","3.4177e-21","1.2826e-100","3.3025e-101","1.8213e-38","2.9796e-79","0.90619","5.6657e-101","0.013308","0.0030473","0.0028241","0.026841","1.722e-80","3.4285e-10","4.4362e-79","6.5871e-06","0.0025671","0.028792","2.9917e-77","1.6957e-05","0.0022085","5.2934e-81","1.2128e-88"
