"d16d16d16","d10d10d11","d10d10d10","d11d12d12","d12d13d13","d13d12d12","d13d12d13","d15d15d16","d15d15d15","d14d14d13","d14d13d13","d14d14d14","d16d15d15","d12d12d12","d13d13d13","d13d14d14","d12d12d11","d13d13d14","d13d13d12","d12d12d13","d11d13d13","d14d15d15","d11d11d10","d11d11d12","d15d14d14","d11d11d11"
"0.040105","0.020052","0.040105","0.020052","0.01703","5.3472e-110","2.3301e-178","0.020052","0.46121","1.0919e-142","9.6137e-06","8.2212e-09","0.040105","1.0255e-07","1.9077e-10","4.1764e-142","0.040105","0.00039103","9.4169e-34","8.1627e-187","2.3009e-19","0.020052","0.020052","0.020052","0.040105","0.20052"
"9.8737e-73","4.5803e-36","1.4869e-35","6.5114e-24","0.013193","0.0089858","0.00081689","3.8556e-73","7.2716e-49","3.0237e-16","2.6308e-22","5.3705e-36","4.0471e-73","0.57101","0.39047","5.3807e-16","6.4308e-30","4.6047e-20","0.0089858","0.0057183","0.00081689","8.3236e-37","2.7078e-35","3.5439e-36","1.1061e-42","6.3637e-11"
"3.4087e-204","6.0696e-201","6.3912e-201","2.9827e-195","5.8806e-181","4.3555e-156","9.6015e-185","5.0002e-205","9.0595e-17","0.016532","0.033059","0.90923","3.7287e-205","3.0396e-159","7.4049e-06","0.016532","7.2144e-199","0.024636","1.7368e-164","1.5329e-151","1.1621e-163","4.4965e-12","4.1329e-200","3.794e-201","7.1531e-14","1.2117e-170"
