"d4d5d4","d4d5d5","d5d4d4","d6d7d7","d6d4d4","d5d5d6","d4d4d4","d5d5d4","d4d4d5","d5d5d5","d7d6d6","d5d6d6","d6d5d5","d6d6d6","d6d6d5","d7d7d6","d7d7d7"
"0.003913","0.031304","0.027391","5.1129e-150","0.003913","3.5684e-95","0.87651","0.023363","0.027356","0.0062509","8.9381e-151","4.2509e-104","2.9136e-87","5.1985e-13","2.691e-99","1.8243e-149","3.2096e-149"
"4.2117e-137","7.0435e-129","4.3636e-132","0.008058","3.2552e-35","0.0076613","6.6745e-45","1.4358e-127","5.2447e-128","1.413e-10","0.012087","0.008058","0.02377","0.89444","0.013697","0.004029","0.028203"
"1.1653e-13","1.027e-10","1.7044e-11","6.1045e-76","3.5178e-130","0.00011047","2.5839e-15","3.3061e-05","9.9329e-06","0.99794","2.2607e-71","3.763e-15","0.00011264","9.5096e-16","0.0017957","2.4827e-74","4.1012e-75"
