"d10d10d11","d9d9d9","d9d9d8","d10d10d10","d11d10d10","d11d10d11","d10d9d9","d11d12d12","d5d5d5","d6d6d6","d6d5d3","d6d6d5","d9d9d10","d5d4d1","d5d7d8","d4d5d6","d6d7d8","d8d9d9","d9d10d10","d12d12d12","d13d13d13","d7d6d6","d12d12d11","d13d13d12","d12d12d13","d12d11d11","d12d11d12","d3d4d1","d7d8d8","d8d8d8","d11d11d10","d1d3d5","d8d8d9","d1d3d4","d10d11d10","d11d11d12","d9d8d8","d10d11d11","d11d11d11","d8d8d7","d10d10d9","d7d7d6","d7d7d7"
"8.374e-012","8.0644e-087","5.4812e-009","3.3797e-015","4.0244e-010","0.0013892","1.2126e-014","0.017288","0.0013902","0.0013902","3.1969e-013","0.0013902","2.4691e-009","0.0013902","4.4485e-013","0.0013902","0.0013902","2.5553e-012","2.5227e-025","0.62142","0.019463","0.0013902","0.026413","0.0013902","0.0013902","0.018071","0.0041172","7.2881e-013","0.0013902","3.8859e-006","0.001787","3.7092e-014","0.0013902","0.0013902","2.0563e-096","0.026407","5.1688e-011","0.00035263","0.24381","1.4401e-005","2.2735e-014","1.5085e-012","0.0027804"
"0.0088936","3.8532e-016","7.5465e-018","0.56816","0.011938","6.2675e-007","1.9398e-015","0.001323","9.5521e-020","1.2122e-018","8.0187e-020","1.6918e-018","2.9031e-014","1.0464e-019","4.2498e-018","2.6532e-019","1.753e-020","1.017e-019","2.5135e-018","1.5156e-014","1.6742e-062","1.101e-018","2.9692e-007","1.0971e-063","6.6996e-065","9.6481e-007","3.2471e-005","4.5552e-018","8.36e-041","1.6237e-024","0.0080201","2.909e-018","1.0762e-019","4.465e-019","6.9912e-006","4.2107e-006","1.8592e-023","0.014384","0.38723","1.5454e-019","4.0349e-019","3.5121e-021","1.1852e-023"
"0.010005","0.44677","0.012075","0.11793","0.011617","0","0.0322","1.4484e-020","2.0006e-186","7.83e-186","0.0040249","1.0751e-186","0.020125","1.2901e-187","0.0040249","2.4879e-186","3.5451e-187","0.020125","0.036224","2.4514e-016","0","7.3772e-186","1.5489e-007","0","0","4.2438e-075","5.8758e-286","0.0040249","9.4528e-070","0.036213","0.021063","0.0040249","2.1724e-186","3.0832e-186","0.0039917","8.4269e-008","0.012075","0.02311","0.14018","0.012033","0.02415","0.0040249","1.5135e-071"
