"d10d10d11","d9d9d9","d10d10d10","d9d10d10","d11d10d10","d10d9d9","d11d12d12","d13d13d13","d12d12d12","d12d12d11","d12d12d13","d13d13d12","d12d11d11","d12d11d12","d9d9d10","d11d11d10","d11d11d12","d10d11d10","d11d11d11","d10d11d11","d10d10d9"
"0.0066607","1.3519e-078","6.0409e-011","7.405e-080","3.3365e-007","8.0234e-080","0.0003908","2.5178e-073","3.1419e-012","0.0010144","5.9117e-075","2.4966e-074","0.0061869","2.5281e-040","1.5904e-079","0.0043772","0.0002958","0.0011148","0.97367","0.0062894","1.9651e-080"
"0.0054158","0.0096997","0.96135","0.0010777","0.0086217","0.0010777","4.8541e-051","5.1147e-088","5.3903e-037","1.3278e-020","4.0905e-089","5.7953e-089","3.5385e-028","8.1863e-093","0.0021555","0.0043902","5.8508e-024","2.8686e-031","5.5547e-015","0.0040552","0.0021555"
"3.1929e-018","1.3476e-130","1.639e-013","2.3971e-133","5.9736e-079","5.2548e-134","0.014302","0.0092279","0.91049","0.018733","0.003076","0.003076","0.013688","0.003076","3.8184e-127","4.1604e-016","0.020716","8.2653e-113","0.0017829","0.0018318","1.0274e-128"
