"d6d6d6","d6d6d7","d8d8d8","d7d7d8","d8d8d7","d7d6d6","d7d7d6","d7d7d7"
"0.99999","4.1361e-11","2.0313e-23","1.2966e-22","3.6452e-21","5.7478e-11","1.2553e-05","2.4374e-13"
"0.99073","0.0031004","6.6383e-20","1.9129e-22","2.5264e-18","0.0046518","0.0015169","4.9255e-08"
"7.6211e-14","2.5985e-06","0.010416","0.0052079","0.0052079","1.2299e-08","7.6691e-05","0.97909"
