"d5d4d5","d3d3d4","d3d3d2","d3d3d3","d5d4d4","d3d2d2","d5d5d6","d5d5d4","d5d5d5","d3d2d3","d1d4d5","d6d5d5","d6d6d6","d2d3d3","d6d6d7","d6d6d5","d2d2d1","d2d2d3","d2d2d2","d4d5d4","d4d5d5","d6d2d2","d6d7d7","d3d5d5","d2d5d5","d2d1d2","d2d1d1","d2d1d4","d3d4d5","d4d4d4","d7d6d5","d4d4d5","d7d6d6","d5d6d6","d5d6d5","d1d2d2","d4d4d3","d1d1d2","d4d3d3","d4d3d4","d3d4d4","d2d4d5","d1d1d4","d1d1d1","d7d7d7"
"1.693e-75","0.010098","0.0005769","0.85537","0.0023707","0.021122","1.7251e-69","0.010053","2.9479e-15","0.0050489","0.00015168","2.5099e-07","1.0762e-14","1.8726e-07","7.0934e-94","3.3281e-66","3.4655e-12","7.8717e-08","2.1357e-06","0.0097979","0.0052538","2.4802e-17","1.3174e-93","2.2466e-67","0.00026872","0.0025246","2.1274e-05","0.0025246","0.0025246","0.0302","2.5301e-93","4.7109e-25","2.8612e-93","5.2013e-67","3.4805e-91","4.3452e-11","0.019527","4.4507e-27","0.010098","3.8576e-71","0.0049147","2.5282e-92","0.0075527","1.8793e-11","3.1448e-93"
"0.001461","1.4139e-09","2.9559e-28","5.0967e-21","0.017621","1.492e-28","0.017532","0.014634","0.21915","6.8319e-21","3.5294e-08","0.023376","0.1797","1.3479e-58","0.001461","0.016071","2.5405e-28","5.3868e-83","4.727e-30","0.0016326","0.013028","2.5871e-47","0.001461","0.001461","2.8377e-34","1.7589e-32","3.688e-23","1.4019e-31","1.4491e-32","0.44712","0.001461","0.011688","0.001461","0.018989","0.004383","1.3282e-25","0.0018445","8.8112e-88","2.8684e-28","0.001461","7.786e-05","1.8102e-26","5.4768e-23","2.6236e-27","0.002922"
"3.6406e-102","7.1956e-12","0.031075","0.0069629","3.0784e-10","0.017916","5.6071e-104","5.0546e-06","1.4236e-08","4.2513e-07","0.0029891","4.6642e-21","1.6658e-05","0.022261","6.7552e-124","1.5339e-102","0.028622","0.0095406","0.62968","5.1857e-06","6.8212e-06","0.0031802","3.389e-124","3.8003e-115","0.0028417","6.4839e-15","0.034956","7.4112e-11","9.1763e-15","8.4684e-16","1.9022e-124","7.0137e-116","6.4085e-124","9.4218e-06","3.2553e-119","0.025442","9.9051e-06","0.015901","1.2832e-17","9.7761e-123","1.2876e-112","0.0031802","2.6608e-05","0.16537","1.2748e-123"
