"100.csv","101.csv","129.csv","130.csv","131.csv","132.csv","160.csv","161.csv","162.csv","163.csv","191.csv","192.csv","193.csv","194.csv","222.csv","223.csv","224.csv","225.csv","253.csv","254.csv","255.csv","256.csv","284.csv","285.csv","286.csv","287.csv","315.csv","316.csv","317.csv","318.csv","346.csv","347.csv","348.csv","349.csv","36.csv","37.csv","377.csv","378.csv","379.csv","38.csv","380.csv","39.csv","408.csv","409.csv","410.csv","411.csv","439.csv","440.csv","441.csv","442.csv","470.csv","471.csv","472.csv","473.csv","5.csv","501.csv","502.csv","503.csv","504.csv","532.csv","533.csv","534.csv","535.csv","563.csv","564.csv","565.csv","566.csv","594.csv","595.csv","596.csv","597.csv","6.csv","67.csv","68.csv","69.csv","7.csv","70.csv","8.csv","98.csv","99.csv"
"-0.10817","-0.14656","0.0054318","-0.014404","-0.14411","0.022427","-0.075482","0.035953","-0.0047755","0.065364","-0.072266","0.0097102","-0.023557","0.08671","-0.16348","0.06958","-0.22088","0.050188","-0.032124","0.056705","-0.27223","0.034777","-0.17463","0.12861","-0.063721","0.040097","-0.057983","0.3657","-0.14305","0.29172","0.041327","-0.088317","-0.11482","0.11672","-0.077475","-0.0040001","-0.024457","0.069637","0.028386","0.12452","-0.18981","0.11408","0.15171","0.11999","0.022024","0.088107","-0.010268","-0.039285","-0.1102","-0.062865","-0.11077","0.0077645","0.060097","0.2014","0.00476","0.089365","0.029941","0.031744","0.11018","-0.21385","-0.29893","-0.00067636","-0.13445","-0.061117","-0.018434","-0.030819","0.023836","0.10393","0.1129","0.06859","0.049514","0.025794","0.056726","0.060497","-0.069817","-0.039052","-0.03748","-0.051586","-0.014405","-0.006817"
"-0.10372","-0.16296","-0.054436","-0.078784","-0.038294","-0.014135","0.0049021","0.017538","0.12096","0.075464","0.030271","0.012964","0.0028616","0.039078","-0.16744","0.03799","-0.074316","-0.081941","-0.15903","0.033636","-0.090664","0.10245","0.019615","-0.12754","0.035481","-0.099619","0.1906","0.07702","0.16013","-0.066739","0.11013","0.07261","0.10441","0.15636","-0.056578","-0.16678","-0.02536","0.083215","-0.0025562","0.056635","-0.020613","0.024969","0.025472","-0.24705","0.096057","-0.073343","-0.28602","0.039051","-0.11723","-0.12007","-0.13914","-0.16753","-0.054752","-0.037188","-0.022394","-0.063243","-0.068016","-0.18178","0.075817","0.044711","0.3051","0.1922","-0.093153","-0.13731","-0.32818","-0.037734","-0.028534","-0.16268","0.059548","-0.025759","-0.06922","-0.16538","0.063117","-0.081534","0.071473","-0.027269","-0.085856","-0.045644","0.0011572","-0.013121"
"-0.12265","0.042774","0.18381","0.016993","0.034281","-0.12919","0.0022966","0.19486","-0.064495","0.00091949","0.046874","0.19643","0.11702","-0.030933","0.028031","0.13689","0.0059791","0.12609","-0.091052","-0.080138","-0.012544","-0.037242","-0.05765","-0.033352","0.015756","0.19797","0.22618","0.25113","-0.13309","-0.226","-0.24848","0.11635","0.10705","-0.035912","-0.13375","0.09202","0.24803","-0.04042","-0.27058","0.056665","0.019056","-0.10515","0.04263","0.00082813","0.064505","-0.13198","0.21354","-0.029871","-0.083822","-0.072254","-0.034782","-0.025936","0.074257","0.0076647","0.29746","-0.0071374","-0.16743","-0.045809","-0.01227","0.048677","-0.023158","0.1294","0.0064012","0.082119","0.052585","-0.12534","0.036701","-0.10662","0.044756","0.022765","0.018455","0.055708","-0.036372","-0.091604","-0.03296","-0.024239","-0.030341","0.06411","0.034244","-0.0067986"
