1:12.0	2:0.0	3:0.0	4:0.0	5:6.0	6:0.0	7:1.0	8:1.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0
1:14.0	2:0.0	3:1.0	4:0.0	5:0.0	6:1.0	7:0.0	8:0.0	9:12.0	10:0.0	11:0.0	12:1.0	13:1.0
1:4.0	2:0.0	3:0.0	4:0.0	5:3.0	6:1.0	7:0.0	8:0.0	9:9.0	10:1.0	11:0.0	12:1.0	13:1.0
1:15.0	2:0.0	3:0.0	4:0.0	5:3.0	6:1.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:1.0
1:17.0	2:0.0	3:1.0	4:0.0	5:6.0	6:0.0	7:1.0	8:1.0	9:12.0	10:0.0	11:0.0	12:1.0	13:1.0
1:0.0	2:1.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:1.0	9:15.0	10:0.0	11:0.0	12:0.0	13:0.0
1:0.0	2:0.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:1.0	9:8.0	10:0.0	11:0.0	12:1.0	13:0.0
1:15.0	2:0.0	3:0.0	4:0.0	5:6.0	6:0.0	7:1.0	8:1.0	9:15.0	10:1.0	11:0.0	12:1.0	13:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:0.0	7:1.0	8:1.0	9:7.0	10:1.0	11:0.0	12:1.0	13:0.0
1:25.0	2:0.0	3:0.0	4:0.0	5:5.0	6:0.0	7:1.0	8:1.0	9:5.0	10:1.0	11:0.0	12:1.0	13:1.0
1:4.0	2:1.0	3:1.0	4:0.0	5:1.0	6:1.0	7:0.0	8:1.0	9:12.0	10:0.0	11:0.0	12:0.0	13:0.0
1:1.0	2:1.0	3:0.0	4:0.0	5:4.0	6:0.0	7:0.0	8:1.0	9:13.0	10:0.0	11:0.0	12:0.0	13:0.0
1:7.0	2:0.0	3:0.0	4:0.0	5:3.0	6:1.0	7:1.0	8:1.0	9:0.0	10:0.0	11:0.0	12:0.0	13:1.0
1:30.0	2:0.0	3:0.0	4:0.0	5:6.0	6:0.0	7:2.0	8:1.0	9:0.0	10:0.0	11:0.0	12:0.0	13:1.0
1:8.0	2:0.0	3:0.0	4:0.0	5:3.0	6:0.0	7:1.0	8:1.0	9:0.0	10:0.0	11:0.0	12:0.0	13:1.0
1:3.0	2:1.0	3:0.0	4:0.0	5:0.0	6:1.0	7:0.0	8:0.0	9:7.0	10:1.0	11:0.0	12:0.0	13:1.0
1:3.0	2:0.0	3:1.0	4:0.0	5:2.0	6:1.0	7:1.0	8:0.0	9:5.0	10:0.0	11:0.0	12:1.0	13:1.0
1:3.0	2:0.0	3:0.0	4:0.0	5:11.0	6:1.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0
1:6.0	2:0.0	3:1.0	4:0.0	5:1.0	6:0.0	7:1.0	8:1.0	9:3.0	10:0.0	11:0.0	12:1.0	13:0.0
1:9.0	2:0.0	3:0.0	4:0.0	5:3.0	6:0.0	7:1.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0
1:4.0	2:0.0	3:0.0	4:0.0	5:7.0	6:0.0	7:2.0	8:1.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0
1:7.0	2:0.0	3:0.0	4:0.0	5:7.0	6:0.0	7:2.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:1.0
1:22.0	2:0.0	3:0.0	4:0.0	5:7.0	6:0.0	7:1.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0
1:7.0	2:0.0	3:0.0	4:0.0	5:7.0	6:0.0	7:1.0	8:1.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0
1:3.0	2:1.0	3:1.0	4:0.0	5:3.0	6:0.0	7:2.0	8:0.0	9:5.0	10:1.0	11:0.0	12:0.0	13:1.0
1:20.0	2:0.0	3:0.0	4:1.0	5:17.0	6:0.0	7:1.0	8:0.0	9:0.0	10:0.0	11:1.0	12:0.0	13:0.0
1:6.0	2:0.0	3:0.0	4:0.0	5:4.0	6:1.0	7:0.0	8:1.0	9:6.0	10:1.0	11:0.0	12:1.0	13:0.0
1:7.0	2:1.0	3:1.0	4:0.0	5:21.0	6:1.0	7:0.0	8:0.0	9:8.0	10:0.0	11:0.0	12:0.0	13:1.0
1:53.0	2:0.0	3:0.0	4:0.0	5:5.0	6:2.0	7:0.0	8:1.0	9:0.0	10:0.0	11:0.0	12:0.0	13:1.0
1:18.0	2:0.0	3:0.0	4:0.0	5:1.0	6:1.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0
1:8.0	2:0.0	3:1.0	4:0.0	5:7.0	6:0.0	7:1.0	8:1.0	9:11.0	10:0.0	11:0.0	12:1.0	13:0.0
1:7.0	2:1.0	3:0.0	4:0.0	5:9.0	6:1.0	7:0.0	8:0.0	9:11.0	10:1.0	11:0.0	12:0.0	13:0.0
1:7.0	2:1.0	3:1.0	4:0.0	5:1.0	6:1.0	7:0.0	8:0.0	9:7.0	10:0.0	11:0.0	12:0.0	13:1.0
1:18.0	2:0.0	3:0.0	4:0.0	5:4.0	6:0.0	7:0.0	8:1.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0
1:12.0	2:0.0	3:0.0	4:0.0	5:2.0	6:1.0	7:0.0	8:0.0	9:13.0	10:1.0	11:0.0	12:1.0	13:0.0
1:27.0	2:0.0	3:0.0	4:0.0	5:2.0	6:0.0	7:1.0	8:1.0	9:7.0	10:1.0	11:0.0	12:1.0	13:0.0
1:1.0	2:1.0	3:0.0	4:0.0	5:2.0	6:1.0	7:0.0	8:1.0	9:13.0	10:1.0	11:0.0	12:0.0	13:0.0
1:35.0	2:0.0	3:0.0	4:0.0	5:3.0	6:1.0	7:0.0	8:1.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0
1:9.0	2:1.0	3:0.0	4:0.0	5:4.0	6:0.0	7:1.0	8:1.0	9:13.0	10:1.0	11:0.0	12:0.0	13:0.0
1:3.0	2:0.0	3:1.0	4:0.0	5:1.0	6:0.0	7:1.0	8:0.0	9:3.0	10:0.0	11:0.0	12:1.0	13:0.0
1:1.0	2:0.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:1.0	9:6.0	10:0.0	11:0.0	12:1.0	13:0.0
1:9.0	2:1.0	3:0.0	4:0.0	5:14.0	6:1.0	7:0.0	8:0.0	9:14.0	10:1.0	11:0.0	12:0.0	13:0.0
1:9.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:1.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0
