"d3d3d4","d4d5d5","d5d4d4","d3d3d3","d5d5d6","d3d1d3","d2d1d3","d4d4d4","d5d5d4","d4d4d5","d5d5d5","d5d6d6","d5d6d5","d1d2d3","d4d4d3","d6d5d6","d6d5d5","d4d3d3","d6d6d6","d3d4d4","d4d3d4","d4d3d1","d4d3d2","d6d6d5","d1d3d4"
"-0.0056053","0.032334","0.024195","0.0046817","0.021313","-0.0032964","-0.0064354","0.17876","0.031711","0.023554","0.93734","0.031204","0.0033894","0.0064207","-0.0022833","0.00017309","0.03213","0.0061521","-0.28599","0.0096356","0.0028296","0.014785","-0.0075113","0.036602","0.0088212"
"-0.0015325","0.15299","0.133","0.022416","0.00042009","0.063328","0.032937","0.87878","0.13325","0.10554","-0.24927","0.026465","-0.0063028","0.064921","0.074971","0.0056083","0.0048188","-0.0040044","-0.19924","0.133","0.003146","0.12654","0.038444","0.010004","0.066235"
"0.0089121","0.10545","-0.066884","0.015615","0.041624","0.41306","0.26308","-0.2648","0.32032","0.14089","-0.035342","0.26458","0.0018436","-0.052398","0.31362","-0.0067382","0.16368","0.013696","-0.18732","0.45901","-0.00474","-0.090643","0.30707","0.022505","-0.041969"
