"d7d6d7","d6d6d6","d6d6d7","d6d7d7","d7d6d6","d7d7d6","d7d7d7"
"0.053812","-0.19737","0.0039938","0.040741","0.002047","0.0011183","0.97799"
"0.97626","-0.013904","-0.018019","-0.20624","-0.036456","-0.015595","-0.047763"
"0.19758","-0.12568","-0.0025951","0.90239","0.35129","-0.043466","-0.074502"
