"d9d9d9","d9d9d8","d10d10d10","d10d9d8","d10d9d9","d8d7d7","d10d9d10","d6d6d6","d6d6d7","d9d9d10","d9d10d9","d8d9d9","d6d7d7","d9d10d10","d8d9d8","d7d6d6","d6d8d8","d7d8d8","d8d8d8","d8d8d9","d7d7d8","d8d8d7","d9d8d8","d10d10d9","d9d8d9","d7d7d7"
"0.3618","0.024917","0.034039","-0.011582","0.02844","0.016353","-8.0988e-05","-0.01169","-0.0066065","0.024689","0.019531","0.045662","-0.026464","0.019789","-0.0031807","-0.0093672","0.002635","-0.0091999","0.70865","0.022105","-0.00788","-0.024859","0.042584","0.019039","-0.00069254","-0.5967"
"0.81834","0.0076123","0.058074","-0.0040416","0.050693","-0.011806","-0.004091","0.00086186","-0.00024155","0.00063414","0.032153","-0.040641","-0.0029699","0.04897","-0.0029418","-0.00016317","0.0087901","-0.031876","-0.5436","0.038723","-0.015253","-0.0057986","-0.016479","0.011937","-0.0064123","-0.14225"
"0.36899","-0.16295","-0.11612","-0.056691","-0.24096","-0.10426","-0.054055","-0.019488","0.0082152","-0.13285","-0.30859","-0.038421","-0.018766","-0.20182","0.0059768","0.0030885","0.012557","-0.22529","0.33668","-0.31416","0.046473","-0.011271","-0.1221","0.015254","-0.054076","0.55632"
