"d6d6d6","d6d7d7","d6d6d7","d7d6d6","d7d7d7"
"-0.19097","0.0098511","-0.0020828","0.00037319","0.98154"
"-0.14931","0.75642","0.099914","0.62786","-0.036668"
"-0.052803","-0.57573","0.56213","0.5914","-0.0035271"
