"d9d10d9","d6d6d6","d8d9d9","d6d6d7","d6d7d7","d8d8d8","d7d7d8","d8d8d7","d9d8d8","d7d6d6","d7d7d6","d7d7d7"
"0.0036478","-0.19609","0.0030987","0.0057637","0.01443","0.0069655","0.0035257","0.0034199","0.0030664","0.014002","0.0070579","0.98028"
"0.34958","-0.18358","0.29696","-0.0033866","-0.0093485","0.66752","0.33788","0.32774","0.29386","-0.0094499","-0.0037965","-0.046663"
"-0.0066473","-0.16202","-0.0056468","0.16028","0.67277","-0.012693","-0.0064248","-0.006232","-0.0055878","0.67426","0.19374","-0.054086"
