"d9d9d9","d9d9d8","d9d10d9","d8d10d10","d8d9d9","d6d7d7","d9d10d10","d10d9d9","d7d6d6","d8d7d7","d6d6d6","d6d6d7","d7d8d8","d9d9d10","d8d8d8","d7d7d8","d9d8d8","d8d8d7","d7d7d6","d7d7d7"
"-0.02545","-0.0081256","-0.010039","-0.012532","-0.016292","0.012158","-0.0088192","-0.022084","0.010721","-0.02025","-0.14964","0.016287","-0.023261","-0.0079364","-0.24266","-0.0031715","-0.015282","-0.006927","0.014315","0.95649"
"0.055874","0.022869","0.021569","0.027755","0.040174","-0.016823","0.018948","0.052803","-0.011114","0.10001","-0.18357","-0.0074448","0.069715","0.022337","0.94199","0.051649","0.033286","0.030109","-0.017255","0.22026"
"0.69524","0.0094909","0.087545","0.43816","0.083436","-0.00029277","0.076906","0.30947","-0.0012169","-0.093724","-0.14091","0.0030145","0.2173","0.00927","-0.11236","-0.13479","0.31283","-0.059721","0.0016933","-0.0085989"
