"d5d6d6","d5d6d5","d6d5d5","d6d6d6","d6d6d5","d5d5d6","d5d5d5"
"0.025221","-0.001125","0.042994","-0.24756","0.032872","0.022426","0.96677"
"-0.24719","0.098744","-0.27941","-0.097845","0.66724","0.62803","-0.043321"
"0.36164","0.41266","0.72053","-0.20367","0.0014574","0.35775","-0.1015"
