"d6d6d6","d6d6d7","d6d7d7","d7d6d6","d7d7d6","d7d7d7"
"-0.19941","0.033738","0.015905","0.014801","0.036668","0.97841"
"-0.14209","0.6743","0.12858","0.13214","0.69595","-0.082382"
"-0.0050341","0.52691","-0.4484","0.49758","-0.52316","0.00017299"
