"d16d16d15","d15d16d15","d16d16d16","d9d9d9","d15d16d16","d9d14d14","d16d17d17","d15d15d16","d14d14d15","d14d13d14","d17d16d16","d15d15d15","d15d15d14","d16d15d16","d14d14d13","d14d13d13","d14d14d14","d16d15d15","d13d13d13","d13d13d14","d14d15d14","d14d15d15","d15d14d15","d15d14d14","d14d16d16"
"-0.0010024","0.014532","-0.102","0.00047615","0.5328","-0.056713","-0.3968","-0.16772","0.40515","-0.0064021","0.22671","-0.40249","0.11422","-0.017265","0.0018864","0.22279","0.0085536","0.18081","0.094835","-0.18543","-5.7385e-16","4.3768e-16","1.3826e-16","-5.0734e-16","-5.6987e-17"
"-7.402e-05","0.0010791","-0.0073958","-0.020348","0.081915","0.051559","-0.0032859","0.0072287","-0.2076","0.024863","0.082376","-0.11364","-0.32089","0.048382","-0.0020655","-0.036428","0.0095749","-0.034819","-0.2478","-0.28907","0.79387","0.02724","-0.027448","0.1397","0.15011"
"-0.0012771","0.01918","-0.89752","0.40967","-0.071297","-0.071891","0.003208","0.00030819","-0.084209","0.0035794","-0.026272","0.048793","0.042256","0.037181","0.00039775","-0.0096822","-0.0054624","-0.032523","-0.0026116","-0.038236","-4.3306e-17","-2.816e-16","-6.6171e-17","2.5113e-16","4.3038e-17"
