"d8d9d8","d7d8d8","d8d8d8","d7d7d8","d8d8d7","d5d5d5","d5d7d7","d7d7d7","d8d7d7"
"-0.0029652","-0.090361","-0.7903","-0.1041","0.46662","0.16146","-0.10362","0.31918","0"
"-0.0029201","-0.096407","-0.43735","0.53109","-0.14797","-0.026049","0.012933","-0.7033","-3.9297e-17"
"-0.009574","-0.94201","0.21836","0.029101","0.24248","-0.047712","0.042696","-0.03311","3.8355e-17"
