"d9d9d9","d9d9d8","d8d9d9","d5d8d8","d10d10d10","d9d10d10","d9d9d10","d10d9d9","d8d8d8","d8d8d9","d9d8d8","d5d5d5","d10d10d9"
"0.069117","0.41629","-0.87841","0.074558","0.081359","-0.15572","-0.054069","0.0052909","-0.020052","-0.00032645","-0.0010719","-0.10262","-5.5167e-17"
"0.015338","0.033343","-0.075157","0.55525","-0.36333","0.29426","0.59565","0.21939","0.039685","0.0025838","-0.19807","0.14954","1.063e-16"
"0.0035209","0.023931","-0.04352","-0.022477","0.2238","0.069909","0.18011","-0.27007","0.84275","0.0046668","0.25196","0.25086","6.0297e-17"
