"d5d6d6","d6d6d6","d6d6d5","d5d5d6","d5d5d5"
"0.14255","0.81667","0.3852","0.2174","-0.34219"
"-0.14566","-0.44559","0.58653","0.65892","-0.045233"
"0.80004","-0.25452","0.40511","-0.35904","-0.046241"
