"d5d6d6","d6d5d5","d6d6d6","d6d6d5","d5d5d6","d5d5d5"
"0.020532","0.017686","0.95744","0.026743","0.031177","-0.28439"
"0.80563","0.50708","-0.096377","0.18791","0.074851","-0.20889"
"-0.40346","0.54384","-0.050475","-0.16017","0.70904","-0.10257"
