"d10d10d11","d9d9d9","d9d9d8","d8d9d9","d10d10d10","d9d9d10","d8d8d8","d8d8d9","d10d11d10","d11d11d11","d10d11d11","d9d8d8","d9d8d9","d10d10d9"
"0.0057859","-0.54633","-0.0052057","-0.014122","0.83435","0.0015057","-0.068448","-0.0038574","0.011343","0.0074653","0.0071994","-0.013541","-0.0024247","0.0016761"
"-0.00015439","-0.28607","0.027653","0.1835","-0.10577","-0.0008945","0.91791","0.028234","-0.00095411","-0.00012353","-5.4305e-05","0.16916","0.023731","-0.0009957"
"0.014749","-0.13111","-0.10085","0.39977","-0.090297","0.0020017","-0.27794","-0.10312","0.013623","0.023111","0.025785","0.8417","-0.081896","0.0022281"
