"d5d6d6","d6d5d6","d6d5d5","d6d6d6","d6d6d5","d5d5d6","d5d5d5"
"-0.0024779","0.010944","0.019617","0.96041","-0.0024797","0.019836","-0.27695"
"0.67758","0.016321","0.25406","-0.069475","0.64165","0.087253","-0.22785"
"-0.095401","0.10412","0.68411","-0.068527","-0.31367","0.62473","-0.13666"
