"d5d6d6","d6d5d5","d6d6d6","d6d6d5","d5d5d6","d5d5d5"
"0.0024318","0.0039218","0.96189","0.0039323","0.0050561","-0.27331"
"-0.048942","0.98656","-0.042898","-0.034912","0.05033","-0.13683"
"0.95072","0.031334","-0.050648","0.25506","-0.0066955","-0.1658"
