"d5d8d8","d7d8d8","d7d8d7","d8d8d8","d7d7d8","d8d8d7","d5d5d5","d7d7d7","d8d7d7"
"-0.00060963","0.15351","0.077948","-0.58063","0.12198","0.16116","-0.00028448","0.75709","0.13854"
"0.00092224","0.52965","0.32326","-0.075665","-0.33905","0.55603","0.00043035","-0.19198","-0.38506"
"-0.038943","-0.23993","0.93412","0.011845","0.043923","-0.25188","-0.018172","-0.0010692","0.049884"
