"d10d10d11","d9d9d9","d9d9d8","d10d10d10","d9d10d10","d11d10d10","d10d9d9","d10d9d10","d9d9d10","d8d8d8","d8d8d9","d11d11d11","d10d10d9","d9d8d9"
"0.0022914","-0.67238","-0.00075678","0.74015","0.0020556","0.0021524","0.0006221","-0.00031046","-0.0014243","-0.0044926","-0.00080564","0.0060726","-0.0005453","-0.0023726"
"-0.1751","0.58741","-0.03281","0.53741","-0.031419","-0.16448","-0.024873","-0.0022758","-0.023776","-0.19478","-0.034929","-0.49512","-0.14449","-2.0618e-005"
"-0.14983","-0.097318","0.14174","-0.07877","0.010294","-0.14075","0.023499","0.0016683","0.0060188","0.84143","0.15089","-0.42293","-0.10784","-0.0020566"
