"d10d14d14","d9d9d9","d10d10d10","d14d14d14","d9d14d14"
"0.8348","0.044015","0.36074","-0.39788","0.11284"
"-0.22268","0.33854","-0.096224","-0.27088","0.86785"
"0.30956","0.12495","0.13529","0.87654","0.31928"
